Group;Value
AG;84.6
AG;85.7
AG;83.1
AG;84.1
AG;86.8
AG;85.1
AG;85.2
AG;86.7
AG;86.1
AG;86.1
AD;82.5
AD;81.6
AD;80.8
AD;82.1
AD;82.7
AD;83.3
AD;81.7
AD;82.5
AD;81.1
AD;82.2
